sl_no,slide_no,latitude,longitude,source_record,year,state,event_date_raw,event_date,movement_type,district,elevation_m,slope_deg,aspect_deg,historical_landslide_count,unique_landslide_locations,aspect_sin,aspect_cos,nearest_road_km,nearest_settlement_km,road_exposure_score,settlement_exposure_score,exposure_score,priority_score,priority_level
8,ASM/HLKD/83D10/2016/58,24.478972,92.682861,8 ASM/HLKD/83D10/2016/58 Assam Hailakandi Terracherra Slide Terracherra area 24.478972 92.682861 Debris Slide 17 May 2016,2016.0,Assam,17 May 2016,2016-05-17,Debris Slide,Hailakandi,42.80226516723633,18.54847576591077,204.8449856479615,5.0,5.0,-0.4201646924608328,-0.9074478669374312,2.7702206691475464,3.1368130615350243,30,50,38.0,33.394182079736666,MONITOR
14,ASM/HLKD/83D10/2016/59,24.511306,92.693028,14 ASM/HLKD/83D10/2016/59 Assam Hailakandi Lalcherra Slide (Rabinala) Near Patakhouri Durga Mandir 24.511306 92.693028 Debris Slide 18 May 2016 Under Bilaipur Forest Village; Lala Police Station,2016.0,Assam,18 May 2016,2016-05-18,Debris Slide,Hailakandi,30.71957015991211,2.5421193633740624,183.94879856972125,5.0,5.0,-0.0688649893159784,-0.99762598865833,0.057018605960775744,3.0818389038149356,100,50,80.0,30.753962643655235,MONITOR
15,ASM/HLKD/83D10/2016/60,24.515944,92.540889,15 ASM/HLKD/83D10/2016/60 Assam Hailakandi Ramchandi (Koyabasti) Ramchandi area 24.515944 92.540889 Earth Slide 18 May 2016,2016.0,Assam,18 May 2016,2016-05-18,Earth Slide,Hailakandi,58.04208755493164,19.59469396345864,331.29613856392587,5.0,5.0,-0.48028261141944,0.877113797159823,0.03540089589223265,6.049395640494094,100,25,70.0,45.72758512708019,MONITOR
30,ASM/CCR/83H2/2016/66,24.645417,93.005361,30 ASM/CCR/83H2/2016/66 Assam Cachar Khasiapunji slide Khasiapunji village 24.645417 93.005361 Debris Slide 31 August 2016,2016.0,Assam,31 August 2016,2016-08-31,Debris Slide,Cachar,353.823486328125,35.302120856130934,220.4128747676997,69.0,68.0,-0.6482910077534078,-0.7613926511768229,0.7305228875305637,4.675332077786945,75,50,65.0,60.99396426080851,HIGH PRIORITY
31,ASM/KRGJ/83D06/2016/61,24.659389,92.497361,"31 ASM/KRGJ/83D06/2016/61 Assam Karimganj Rakhalbasti Rakhalbasti, near Sonaicherra 24.659389 92.497361 Earth Slide 18 May 2016 TG. Under Ram Krishna",2016.0,Assam,18 May 2016,2016-05-18,Earth Slide,Karimganj,25.39686584472656,4.570273436689535,252.1330610907272,6.0,6.0,-0.9517715978670545,-0.3068074730080645,0.02004530061292755,2.0498384635476268,100,50,80.0,32.95112955641366,MONITOR
32,ASM/HLK/83D10/2020/003,24.70364,92.64681,"32 ASM/HLK/83D10/2020/003 Assam Hailakandi Mohanpur Grant Slide 1 Mohanpur Grant, Hailakandi 24.70364 92.64681 Debris Slide 02nd June 2020 Circle.",2020.0,Assam,,,Debris Slide,Cachar,49.10917663574219,25.31427856722981,245.51758048326752,69.0,68.0,-0.910088471400512,-0.4144140130640849,0.24677018483390778,4.272230870500827,100,50,80.0,55.42380178116562,HIGH PRIORITY
33,AS/KRM/83D06/2014/01,24.70619,92.28997,33 AS/KRM/83D06/2014/01 Assam Karimganj Satkaragul NH-44 24.70619 92.28997 Earth Flow NA,2014.0,Assam,,,Earth Flow,Karimganj,35.950775146484375,17.112681379985613,125.20617504607604,6.0,6.0,0.8170827686626382,-0.5765203805197155,0.502483591783969,0.5320949808192387,75,90,81.0,46.88873816165108,MONITOR
34,ASM/HLK/83D10/2020/004,24.70656,92.65008,"34 ASM/HLK/83D10/2020/004 Assam Hailakandi Mohanpur Grant Slide 2 Mohanpur Grant, Hailakandi 24.70656 92.65008 Debris Slide 02 June 2020 Circle.",2020.0,Assam,02 June 2020,2020-06-02,Debris Slide,Cachar,55.52153778076172,10.217319178041162,129.26159294874066,69.0,68.0,0.77426460971935,-0.6328620024429834,0.5722310757997524,4.425079420344265,75,50,65.0,33.818762442877926,MONITOR
35,AS/KAR/83D06/2009-10/AS-2,24.710833,92.481167,35 AS/KAR/83D06/2009-10/AS-2 Assam Karimganj Rongpur slide Rongpur Village 24.710833 92.481167 Debris Slide 03 June 2010,2009.0,Assam,03 June 2010,2010-06-03,Debris Slide,Karimganj,38.39556503295898,16.782447493598657,277.9174144651888,6.0,6.0,-0.9904676426259788,0.137745594887591,0.20719587682179902,1.5538860146582656,100,75,90.0,49.680984784731876,MONITOR
36,ASM/CHR/83D14/2020/0002,24.72192,92.90381,"36 ASM/CHR/83D14/2020/0002 Assam Cachar Govindnagar Slide Govindnagar Pt. II, Sonai 24.72192 92.90381 Debris Slide 05 June 2020",2020.0,Assam,05 June 2020,2020-06-05,Debris Slide,Cachar,33.10757827758789,18.483449804269625,164.51762695631555,69.0,68.0,0.266941904045174,-0.9637126230701438,0.021691640832461414,2.0601476199527426,100,50,80.0,48.02373728795876,MONITOR
